Deck,Type,Name,Description,Mechanic
Fantasy,Skill,Archery,Proficiency with bows,"{""skill"":""combat""}"
Fantasy,Skill,Beast Taming,Train and control animals,"{""skill"":""nature""}"
Fantasy,Skill,Blacksmithing,Forge weapons and armor,"{""skill"":""craft""}"
Fantasy,Skill,Climbing,Scale walls and cliffs,"{""skill"":""athletics""}"
Fantasy,Skill,Folklore,Knowledge of legends and myths,"{""skill"":""knowledge""}"
Fantasy,Skill,History/Lore,Knowledge of past events and legends,"{""skill"":""knowledge""}"
Fantasy,Skill,Intimidation,Use presence to control situations,"{""skill"":""social""}"
Fantasy,Skill,Performance,Entertain crowds or use art for magic,"{""skill"":""art""}"
Fantasy,Skill,Persuasion,Influence others through speech,"{""skill"":""social""}"
Fantasy,Skill,Riding,Skilled horsemanship,"{""skill"":""nature""}"
Fantasy,Skill,Stealth,Move silently and remain hidden,"{""skill"":""stealth""}"
Fantasy,Skill,Survival,Find food and shelter in wilderness,"{""skill"":""survival""}"
Fantasy,Skill,Sword Fighting,Mastery of blade combat,"{""skill"":""combat""}"
Fantasy,Skill,Tracking,Follow trails and hunt prey,"{""skill"":""nature""}"
Fantasy,Skill,Trap Disarming,Detect and disable traps,"{""skill"":""tech""}"
Fantasy,Trait,Agility,Quick reflexes and balance,"{""trait"":true}"
Fantasy,Trait,Battle-Scarred,Experienced in countless fights,"{""trait"":true}"
Fantasy,Trait,Brave,Face danger without hesitation,"{""trait"":true}"
Fantasy,Trait,Charismatic,Natural magnetism draws people,"{""trait"":true}"
Fantasy,Trait,Cheerful,Optimistic disposition,"{""trait"":true}"
Fantasy,Trait,Endurance,Stamina to march and fight,"{""trait"":true}"
Fantasy,Trait,Hardy,Resistant to disease and poison,"{""trait"":true}"
Fantasy,Trait,Magically Sensitive,Instinctively feel arcane forces,"{""trait"":true}"
Fantasy,Trait,Mysterious,Secretive nature creates intrigue,"{""trait"":true}"
Fantasy,Trait,Noble-Born,Raised in aristocracy,"{""trait"":true}"
Fantasy,Trait,Perception,Notice details and hidden threats,"{""trait"":true}"
Fantasy,Trait,Resourceful,Improvise solutions,"{""trait"":true}"
Fantasy,Trait,Silver-Tongued,Natural gift for persuasive speech,"{""trait"":true}"
Fantasy,Trait,Strength,Physical might,"{""trait"":true}"
Fantasy,Trait,Stubborn,Refuse to give up,"{""trait"":true}"
Fantasy,Trait,Wise,Deep understanding and insight,"{""trait"":true}"
Fantasy,Trait,Wit,Quick thinking and cleverness,"{""trait"":true}"
Feudal Japan,Ability,Ancestral Guidance,Brief visions or advice from deceased forebears,"{""utility"":""knowledge""}"
Feudal Japan,Ability,Arrow Cut,Reflexes fast enough to deflect a projectile with a blade,"{""defense"":""projectile""}"
Feudal Japan,Ability,Blind Fighting,Fight effectively using hearing and air currents alone,"{""perception"":""blind""}"
Feudal Japan,Ability,Elemental Blade,Channel fire ice or lightning through your weapon,"{""damage"":1,""type"":""elemental""}"
Feudal Japan,Ability,Feign Death,Lower heart rate to undetectable levels,"{""utility"":""deception""}"
Feudal Japan,Ability,Ki Strike,Channel inner energy to damage opponents internally,"{""damage"":2}"
Feudal Japan,Ability,Kiai Shout,A spirit-infused shout that paralyzes foes with fear,"{""status"":""stun""}"
Feudal Japan,Ability,Master Strategist,Instantly analyze a battlefield to find the winning tactic,"{""skill_bonus"":""tactics""}"
Feudal Japan,Ability,Origami Magic,Folded paper creations come to life to serve you,"{""minion"":""construct""}"
Feudal Japan,Ability,Poison Resistance,Built-up immunity to common toxins,"{""resistance"":""poison""}"
Feudal Japan,Ability,Quick Draw (Iaijutsu),Strike with precision the moment blade leaves sheath,"{""initiative"":2}"
Feudal Japan,Ability,Shadow Meld,Supernaturally blend into darkness and shadows,"{""stealth"":2}"
Feudal Japan,Ability,Spirit Ward,Chant sutras to repel evil spirits,"{""defense"":""spirit""}"
Feudal Japan,Ability,Vanishing Step,Move so quietly you seem to disappear,"{""stealth"":3}"
Feudal Japan,Ability,Water Walking,Lightness of foot allows running across water,"{""movement"":""water""}"
Feudal Japan,Ability,Zen Focus,Ignore distractions and pain to achieve task,"{""resistance"":""pain""}"
Feudal Japan,Character,Buddhist Monk,A wandering ascetic seeking enlightenment,"{""power_level"":2,""connection"":""religious""}"
Feudal Japan,Character,Daimyo,Powerful ruler of the province,"{""power_level"":4,""connection"":""noble""}"
Feudal Japan,Character,Geisha (Spy),Entertainer who hears everyone's secrets,"{""power_level"":2,""connection"":""spy""}"
Feudal Japan,Character,Kabuki Actor,Performer capable of changing faces,"{""power_level"":2,""connection"":""art""}"
Feudal Japan,Character,Ninja Master,Shadow warrior leading a clan of assassins,"{""power_level"":5,""connection"":""ninja""}"
Feudal Japan,Character,Onmyoji (Mystic),Court wizard skilled in divination,"{""power_level"":3,""connection"":""magic""}"
Feudal Japan,Character,Peasant Farmer,Backbone of the province knows the land,"{""power_level"":1,""connection"":""local""}"
Feudal Japan,Character,Ronin,Masterless samurai wandering in search of purpose,"{""power_level"":3,""connection"":""warrior""}"
Feudal Japan,Character,Samurai,Loyal warrior bound by code,"{""power_level"":3,""connection"":""noble""}"
Feudal Japan,Character,Shinto Priest,Keeper of the shrine attuned to spirits,"{""power_level"":2,""connection"":""religious""}"
Feudal Japan,Character,Shonin Merchant,Wealthy trader low in status high in influence,"{""power_level"":2,""connection"":""trade""}"
Feudal Japan,Character,Sumo Wrestler,Mountain of a man with immovable stability,"{""power_level"":3,""connection"":""warrior""}"
Feudal Japan,Character,Swordsmith,Revered craftsman whose blades have souls,"{""power_level"":3,""connection"":""craft""}"
Feudal Japan,Character,Tea Master,Figure of immense peace and neutrality,"{""power_level"":2,""connection"":""social""}"
Feudal Japan,Character,Wokou Pirate,Raider from the sea,"{""power_level"":2,""hostile"":true}"
Feudal Japan,Character,Yakuza Boss,Leader of organized crime syndicate,"{""power_level"":4,""connection"":""criminal""}"
Feudal Japan,Drawback,Cursed Lineage,Family name brings bad luck,"{""curse"":true}"
Feudal Japan,Drawback,Disgraced,Stripped of rank and title,"{""reputation"":-1}"
Feudal Japan,Drawback,Distrusted Outsider,Foreigner treated with suspicion,"{""reputation"":-1}"
Feudal Japan,Drawback,Enemy Clan Vendetta,Rival family will kill you on sight,"{""hunted"":true}"
Feudal Japan,Drawback,Gambling Addiction,Cannot resist wagering,"{""addiction"":true}"
Feudal Japan,Drawback,Giri,Bound by duty conflicting obligations,"{""restriction"":""duty""}"
Feudal Japan,Drawback,Haunted by Yokai,A specific spirit torments you,"{""curse"":true}"
Feudal Japan,Drawback,Honorless,Known as oath-breaker,"{""reputation"":-1}"
Feudal Japan,Drawback,Illiterate,Cannot read decrees or scrolls,"{""skill_penalty"":""literacy""}"
Feudal Japan,Drawback,Masterless,Lacking a lord's protection,"{""status"":""ronin""}"
Feudal Japan,Drawback,Rice Wine Vice,Function poorly without a drink,"{""addiction"":true}"
Feudal Japan,Drawback,Rigid Code of Honor,Cannot use stealth or lies,"{""restriction"":""code""}"
Feudal Japan,Drawback,Shameful Secret,Past deed could require Seppuku,"{""secret"":true}"
Feudal Japan,Drawback,Soft Hearted,Cannot bring yourself to kill,"{""restriction"":""violence""}"
Feudal Japan,Drawback,Superstitious,Will not act if omens are bad,"{""fear"":""superstition""}"
Feudal Japan,Drawback,Wanted,Bounty for your capture,"{""hunted"":true}"
Feudal Japan,Item,Caltrops,Spikes scattered to injure pursuers,"{""damage"":1,""area"":true}"
Feudal Japan,Item,Grappling Hook,Iron hook for scaling walls,"{""utility"":""climb""}"
Feudal Japan,Item,Katana,The soul of the samurai,"{""damage"":2,""tag"":""precision""}"
Feudal Japan,Item,Kimono,Traditional silk robe,"{""utility"":""social""}"
Feudal Japan,Item,Medicinal Salve,Herbal paste stops bleeding,"{""heal"":1}"
Feudal Japan,Item,Ninja Climbing Claws,Hand spikes for walls or combat,"{""utility"":""climb""}"
Feudal Japan,Item,Paper Lantern,Provides light,"{""utility"":""light""}"
Feudal Japan,Item,Prayer Beads,Spiritual focus,"{""utility"":""magic""}"
Feudal Japan,Item,Sake Set,Ceramic bottle and cups,"{""utility"":""social""}"
Feudal Japan,Item,Samurai Armor,Lacquered plates providing defense,"{""armor"":2}"
Feudal Japan,Item,Shuriken,Throwing stars,"{""damage"":1,""range"":""short""}"
Feudal Japan,Item,Smoke Bomb,Creates obscuring cloud,"{""utility"":""stealth""}"
Feudal Japan,Item,Straw Hat & Cloak,Disguise protecting from elements,"{""utility"":""stealth""}"
Feudal Japan,Item,Tanto,Short blade for close quarters,"{""damage"":1}"
Feudal Japan,Item,War Fan (Tessen),Iron fan to signal or deflect,"{""defense"":1}"
Feudal Japan,Item,Yumi Bow,Asymmetric longbow,"{""damage"":2,""range"":""long""}"
Feudal Japan,Skill,Diplomacy,Negotiate agreements,"{""skill"":""social""}"
Feudal Japan,Skill,Disguise,Alter appearance,"{""skill"":""deception""}"
Feudal Japan,Skill,Etiquette,Navigate social hierarchies,"{""skill"":""social""}"
Feudal Japan,Skill,Herbal Medicine,Traditional healing,"{""skill"":""medicine""}"
Feudal Japan,Skill,Horse Riding,Mounted combat and travel,"{""skill"":""nature""}"
Feudal Japan,Skill,Jujutsu,Close combat using holds,"{""skill"":""combat""}"
Feudal Japan,Skill,Kenjutsu,Japanese swordsmanship,"{""skill"":""combat""}"
Feudal Japan,Skill,Kyujutsu,Traditional bowmanship,"{""skill"":""combat""}"
Feudal Japan,Skill,Meditation,Mental discipline,"{""skill"":""focus""}"
Feudal Japan,Skill,Ninjutsu,Art of shadow warriors,"{""skill"":""stealth""}"
Feudal Japan,Skill,Origami,Paper folding art,"{""skill"":""art""}"
Feudal Japan,Skill,Poetry & Calligraphy,Artistic skills,"{""skill"":""art""}"
Feudal Japan,Skill,Poison Craft,Knowledge of toxins,"{""skill"":""craft""}"
Feudal Japan,Skill,Strategy,Tactical thinking,"{""skill"":""tactics""}"
Feudal Japan,Skill,Tea Ceremony,Ritualized preparation,"{""skill"":""art""}"
Feudal Japan,Skill,Tracking,Follow trails,"{""skill"":""nature""}"
Feudal Japan,Trait,Agility,Quick movement and reflexes,"{""trait"":true}"
Feudal Japan,Trait,Composed,Maintain calm under pressure,"{""trait"":true}"
Feudal Japan,Trait,Deceptive,Ability to mislead,"{""trait"":true}"
Feudal Japan,Trait,Disciplined,Self-control,"{""trait"":true}"
Feudal Japan,Trait,Eagle Eyed,Exceptional vision,"{""trait"":true}"
Feudal Japan,Trait,Graceful,Elegant movement,"{""trait"":true}"
Feudal Japan,Trait,Honor,Personal code,"{""trait"":true}"
Feudal Japan,Trait,Intuitive,Read situations instinctively,"{""trait"":true}"
Feudal Japan,Trait,Precise,Attention to detail,"{""trait"":true}"
Feudal Japan,Trait,Serene,Inner peace,"{""trait"":true}"
Feudal Japan,Trait,Spiritual,Connection to beliefs,"{""trait"":true}"
Feudal Japan,Trait,Stoic,Show no emotion,"{""trait"":true}"
Feudal Japan,Trait,Strength,Physical power,"{""trait"":true}"
Feudal Japan,Trait,Toughness,Endurance,"{""trait"":true}"
Feudal Japan,Trait,Traditional,Adhere to customs,"{""trait"":true}"
Feudal Japan,Trait,Vengeful,Remember slights,"{""trait"":true}"
Horror,Ability,Adrenaline Surge,Brief inhuman strength when death is imminent,"{""buff"":""strength""}"
Horror,Ability,Banishment,Force supernatural entities to retreat,"{""effect"":""banish""}"
Horror,Ability,Blood Sense,Detect injured creatures nearby,"{""perception"":""blood""}"
Horror,Ability,Corpse Speech,Ask questions of recent corpses,"{""utility"":""magic""}"
Horror,Ability,Death Defiance,Survive fatal injury once per night,"{""revive"":true}"
Horror,Ability,Fearless,Terror no longer affects you,"{""resistance"":""fear""}"
Horror,Ability,Final Girl Luck,Survive improbable doom,"{""luck"":2}"
Horror,Ability,Ghost Sight,See the departed clearly,"{""perception"":""spirit""}"
Horror,Ability,Immune to Charm,Cannot be possessed or controlled,"{""resistance"":""charm""}"
Horror,Ability,Occult Rituals,Knowledge of wards and circles,"{""skill_bonus"":""occult""}"
Horror,Ability,Pain Tolerance,Ignore injury penalties,"{""resistance"":""pain""}"
Horror,Ability,Premonition,Visions of impending death,"{""perception"":""future""}"
Horror,Ability,Psychic Scream,Release mental anguish to stun,"{""status"":""stun""}"
Horror,Ability,Sacrifice Ward,Protect others by taking harm,"{""defense"":""ally""}"
Horror,Ability,Séance Medium,Channel the dead,"{""utility"":""magic""}"
Horror,Ability,Unholy Strength,Tap into dark force for strength,"{""buff"":""strength""}"
Horror,Character,Ancient Vampire,Centuries-old aristocrat feeder,"{""power_level"":5,""hostile"":true}"
Horror,Character,Cursed Doll,Toy that moves when unseen,"{""power_level"":2,""hostile"":true}"
Horror,Character,Dark Doppelganger,Twisted copy of a protagonist,"{""power_level"":4,""hostile"":true}"
Horror,Character,Eldritch Horror,Cosmic entity driving onlookers insane,"{""power_level"":5,""hostile"":true}"
Horror,Character,Gas Station Attendant,Old timer warning travelers,"{""power_level"":1,""connection"":""local""}"
Horror,Character,Headless Horseman,Spectral rider seeking head,"{""power_level"":4,""hostile"":true}"
Horror,Character,Mad Scientist,Genius obsessed with reanimation,"{""power_level"":3,""connection"":""science""}"
Horror,Character,Masked Slasher,Silent killer stalking victims,"{""power_level"":4,""hostile"":true}"
Horror,Character,Patient Zero,First host of necrotic plague,"{""power_level"":3,""hostile"":true}"
Horror,Character,Poltergeist,Invisible force throwing objects,"{""power_level"":2,""hostile"":true}"
Horror,Character,Possessed Pet,Beloved animal with glowing eyes,"{""power_level"":1,""hostile"":true}"
Horror,Character,Swamp Creature,Amphibious humanoid,"{""power_level"":3,""hostile"":true}"
Horror,Character,The Exorcist,Priest carrying burden,"{""power_level"":3,""connection"":""religious""}"
Horror,Character,The Final Girl,Traumatized survivor who fights back,"{""power_level"":3,""connection"":""survivor""}"
Horror,Character,The Hitchhiker,Vanishes from cars,"{""power_level"":2,""connection"":""spirit""}"
Horror,Character,The Wolfman,Cursed soul transforming under moon,"{""power_level"":4,""hostile"":true}"
Horror,Drawback,Addiction,Dependent on medication to function,"{""addiction"":true}"
Horror,Drawback,Bleeding Stigmata,Wounds appear during supernatural events,"{""curse"":true}"
Horror,Drawback,Clumsy,Coordination fails at critical moments,"{""dexterity_penalty"":true}"
Horror,Drawback,Cursed Bloodline,Family hunted by ancient evil,"{""curse"":true}"
Horror,Drawback,Frozen in Fear,Terror paralyzes you,"{""stun_risk"":true}"
Horror,Drawback,Guilt-Ridden,Death of another weighs on you,"{""morale"":-1}"
Horror,Drawback,Haunted,Spirits interfere with your focus,"{""mechanic"":""roll_complication_on_1_or_2""}"
Horror,Drawback,Haunted Past,PTSD from previous encounters,"{""sanity_loss"":true}"
Horror,Drawback,Isolated,Nobody believes your warnings,"{""social_penalty"":true}"
Horror,Drawback,Marked by Death,Entities notice you immediately,"{""aggro"":true}"
Horror,Drawback,Night Terrors,Sleep brings vivid nightmares,"{""fatigue"":true}"
Horror,Drawback,Obsessed,Investigation consumes life,"{""obsession"":true}"
Horror,Drawback,Panic Attack,Stress triggers loss of rationality,"{""sanity_loss"":true}"
Horror,Drawback,Paranoia,Cannot trust anyone,"{""sanity_loss"":true}"
Horror,Drawback,Screams Loudly,Alert threats when frightened,"{""stealth_penalty"":true}"
Horror,Drawback,Sees Dead People,Constant visions of spirits,"{""sanity_loss"":true}"
Horror,Drawback,Weak Heart,Terror could cause fatal episode,"{""weakness"":""fear""}"
Horror,Item,Ancestor's Journal,Diary containing warnings and rituals,"{""utility"":""knowledge""}"
Horror,Item,Ancient Tome,Book of forbidden knowledge,"{""utility"":""magic""}"
Horror,Item,Audio Recorder,Captures electronic voice phenomena,"{""utility"":""detect""}"
Horror,Item,Blessed Blade,Consecrated knife for defense,"{""damage"":1,""holy"":true}"
Horror,Item,Crucifix,Blessed silver cross ward,"{""defense"":""spirit""}"
Horror,Item,Dad's Shotgun,Reliable double-barrel,"{""damage"":3,""ammo"":2}"
Horror,Item,EMF Detector,Senses paranormal activity,"{""utility"":""detect""}"
Horror,Item,Flickering Flashlight,Unreliable light source,"{""utility"":""light""}"
Horror,Item,Holy Water,Burns unholy flesh,"{""damage"":2,""consumable"":true}"
Horror,Item,Iron Chains,Cold forged metal binds spirits,"{""utility"":""bind""}"
Horror,Item,Ouija Board,Gateway to communicate,"{""utility"":""magic""}"
Horror,Item,Polaroid Camera,Captures the invisible,"{""utility"":""detect""}"
Horror,Item,Protective Talisman,Weakens supernatural attacks,"{""defense"":1}"
Horror,Item,Rusty Chainsaw,Loud terrifying weapon,"{""damage"":3}"
Horror,Item,Salt Circle Kit,Creates protective barriers,"{""defense"":""barrier""}"
Horror,Item,Silver Bullets,Ammo effective against monsters,"{""damage"":2,""silver"":true}"
Horror,Skill,Exorcism,Drive out entities,"{""skill"":""occult""}"
Horror,Skill,Firearms,Proficiency with guns,"{""skill"":""combat""}"
Horror,Skill,First Aid,Treat wounds,"{""skill"":""medicine""}"
Horror,Skill,Hiding,Concealment,"{""skill"":""stealth""}"
Horror,Skill,Interrogation,Extract truth,"{""skill"":""social""}"
Horror,Skill,Investigation,Piece together mysteries,"{""skill"":""investigation""}"
Horror,Skill,Lock Picking,Open doors,"{""skill"":""tech""}"
Horror,Skill,Medicine,Treat injuries,"{""skill"":""medicine""}"
Horror,Skill,Occult Knowledge,Understanding of dark rituals,"{""skill"":""occult""}"
Horror,Skill,Perception,Notice wrongness,"{""skill"":""investigation""}"
Horror,Skill,Photography,Document evidence,"{""skill"":""art""}"
Horror,Skill,Psychology,Understand madness,"{""skill"":""science""}"
Horror,Skill,Research,Finding information,"{""skill"":""investigation""}"
Horror,Skill,Ritual Performance,Conduct ceremonies,"{""skill"":""occult""}"
Horror,Skill,Sprinting,Run faster from terror,"{""skill"":""athletics""}"
Horror,Skill,Survival Instinct,Recognize when to flee,"{""skill"":""survival""}"
Horror,Trait,Analytical,Logic over emotion,"{""trait"":true}"
Horror,Trait,Brave,Face fear,"{""trait"":true}"
Horror,Trait,Brawn,Sturdy and strong,"{""trait"":true}"
Horror,Trait,Cynical,Expect the worst,"{""trait"":true}"
Horror,Trait,Determined,Refuse to give up,"{""trait"":true}"
Horror,Trait,Empathetic,Feel others pain,"{""trait"":true}"
Horror,Trait,Faithful,Deep belief,"{""trait"":true}"
Horror,Trait,Fast,Fleet of foot,"{""trait"":true}"
Horror,Trait,Haunted,Supernatural follows you,"{""trait"":true}"
Horror,Trait,Intuitive,Gut feelings,"{""trait"":true}"
Horror,Trait,Perceptive,Notice details,"{""trait"":true}"
Horror,Trait,Pure,No darkness in heart,"{""trait"":true}"
Horror,Trait,Rational,Seek logical explanations,"{""trait"":true}"
Horror,Trait,Resilient,Bounce back,"{""trait"":true}"
Horror,Trait,Skeptical,Question evidence,"{""trait"":true}"
Horror,Trait,Superstitious,Believe in omens,"{""trait"":true}"
Medieval Europe,Ability,Battle Hardened,Numbed to horror fight effectively,"{""resistance"":""fear""}"
Medieval Europe,Ability,Blessing of the Church,Minor protection,"{""buff"":""defense""}"
Medieval Europe,Ability,Divine Favor,God's hand protects you,"{""luck"":1}"
Medieval Europe,Ability,Divine Right,Claim authority,"{""social"":""authority""}"
Medieval Europe,Ability,Fearsome Reputation,Enemies hesitate,"{""social"":""intimidate""}"
Medieval Europe,Ability,Heraldic Knowledge,Recognize noble houses,"{""skill_bonus"":""history""}"
Medieval Europe,Ability,Iron Constitution,Resistant to disease,"{""resistance"":""disease""}"
Medieval Europe,Ability,Last Stand,Fight beyond endurance,"{""buff"":""desperation""}"
Medieval Europe,Ability,Mounted Combat,Devastating charge,"{""combat"":""mounted""}"
Medieval Europe,Ability,Noble Bearing,Presence commands respect,"{""social"":""authority""}"
Medieval Europe,Ability,Plague Immunity,Resistance to disease,"{""immunity"":""disease""}"
Medieval Europe,Ability,Rallying Cry,Inspire allies,"{""buff"":""allies""}"
Medieval Europe,Ability,Shield Wall Master,Defensive formation,"{""defense"":""formation""}"
Medieval Europe,Ability,Siege Expertise,Fortification knowledge,"{""skill_bonus"":""siege""}"
Medieval Europe,Ability,Tactical Genius,Read battlefield,"{""skill_bonus"":""tactics""}"
Medieval Europe,Ability,Weapon Master,Mastery of arms,"{""combat"":""all""}"
Medieval Europe,Character,Alchemist,Secretive researcher,"{""power_level"":2,""connection"":""science""}"
Medieval Europe,Character,Court Jester,Fool who speaks truth,"{""power_level"":1,""connection"":""court""}"
Medieval Europe,Character,Court Minstrel,Traveling entertainer,"{""power_level"":1,""connection"":""social""}"
Medieval Europe,Character,Crusader Veteran,Disillusioned warrior,"{""power_level"":3,""connection"":""military""}"
Medieval Europe,Character,Executioner,Royal headsman,"{""power_level"":3,""connection"":""law""}"
Medieval Europe,Character,Hedge Knight,Wandering warrior,"{""power_level"":3,""connection"":""warrior""}"
Medieval Europe,Character,Heretic Hunter,Tracks dissidents,"{""power_level"":3,""connection"":""religious""}"
Medieval Europe,Character,Inquisitor,Hunts witches,"{""power_level"":3,""connection"":""religious""}"
Medieval Europe,Character,Leper,Outcast with disease,"{""power_level"":1,""connection"":""outcast""}"
Medieval Europe,Character,Master Mason,Builder of cathedrals,"{""power_level"":2,""connection"":""craft""}"
Medieval Europe,Character,Noble Lord/Lady,Landed aristocrat,"{""power_level"":2,""connection"":""noble""}"
Medieval Europe,Character,Peasant Revolutionary,Rabble-rouser,"{""power_level"":2,""connection"":""rebel""}"
Medieval Europe,Character,Plague Doctor,Physician in mask,"{""power_level"":2,""connection"":""medical""}"
Medieval Europe,Character,Spice Merchant,Wealthy trader,"{""power_level"":2,""connection"":""trade""}"
Medieval Europe,Character,The Crusader,Faithful warrior,"{""power_level"":3,""connection"":""military""}"
Medieval Europe,Character,Wandering Friar,Mendicant monk,"{""power_level"":1,""connection"":""religious""}"
Medieval Europe,Drawback,Bastard Child,Illegitimate birth,"{""social_penalty"":true}"
Medieval Europe,Drawback,Branded Criminal,Physically marked,"{""reputation"":-1}"
Medieval Europe,Drawback,Debt to Church,Owe money or service,"{""debt"":true}"
Medieval Europe,Drawback,Disfigured,Scarred by violence,"{""social_penalty"":true}"
Medieval Europe,Drawback,Excommunicated,Cast out from Church,"{""social_penalty"":true}"
Medieval Europe,Drawback,Family Feud,Blood vendetta,"{""hunted"":true}"
Medieval Europe,Drawback,Heretic Brand,Marked as deviant,"{""reputation"":-1}"
Medieval Europe,Drawback,Illiterate,Cannot read,"{""skill_penalty"":""literacy""}"
Medieval Europe,Drawback,Leprosy,Dreaded disease,"{""sickness"":""leprosy""}"
Medieval Europe,Drawback,Malnutrition,Weakened body,"{""weakness"":""physical""}"
Medieval Europe,Drawback,Oath to Liege,Bound by duty,"{""restriction"":""oath""}"
Medieval Europe,Drawback,Peasant Born,Low birth,"{""social_penalty"":true}"
Medieval Europe,Drawback,Serfdom,Bound to estate,"{""restriction"":""freedom""}"
Medieval Europe,Drawback,Superstitious,Paralyzed by omens,"{""fear"":""superstition""}"
Medieval Europe,Drawback,Wanted for Poaching,Hunted for hunting,"{""hunted"":true}"
Medieval Europe,Drawback,War Trauma,Haunted by battle,"{""sanity_loss"":true}"
Medieval Europe,Item,Chain Hauberk,Flexible armor,"{""armor"":2}"
Medieval Europe,Item,Coat of Arms,Shield with heraldry,"{""utility"":""social""}"
Medieval Europe,Item,Crusader's Cross,Cloth symbol,"{""utility"":""religious""}"
Medieval Europe,Item,Falcon,Trained hunting bird,"{""utility"":""hunt""}"
Medieval Europe,Item,Heavy Crossbow,Powerful ranged weapon,"{""damage"":3,""reload"":true}"
Medieval Europe,Item,Holy Bible,Illuminated manuscript,"{""value"":""high""}"
Medieval Europe,Item,King's Writ,Official document,"{""utility"":""legal""}"
Medieval Europe,Item,Noble Seal,Wax stamp,"{""utility"":""legal""}"
Medieval Europe,Item,Physician's Kit,Medical tools,"{""utility"":""medical""}"
Medieval Europe,Item,Pilgrim's Staff,Walking stick with blade,"{""damage"":1}"
Medieval Europe,Item,Plate Armor,Full suit of steel,"{""armor"":3}"
Medieval Europe,Item,Religious Relic,Artifact from saint,"{""utility"":""religious""}"
Medieval Europe,Item,Signet Ring,Proof of identity,"{""utility"":""social""}"
Medieval Europe,Item,War Horse,Trained destrier,"{""vehicle"":""horse""}"
Medieval Europe,Item,Wax Tablets,Reusable notes,"{""utility"":""write""}"
Medieval Europe,Item,Zweihänder,Massive two-handed blade,"{""damage"":3}"
Medieval Europe,Skill,Animal Husbandry,Care for livestock,"{""skill"":""nature""}"
Medieval Europe,Skill,Armory,Maintain weapons,"{""skill"":""craft""}"
Medieval Europe,Skill,Barber,Medical practice,"{""skill"":""medicine""}"
Medieval Europe,Skill,Blacksmithing,Forge metal,"{""skill"":""craft""}"
Medieval Europe,Skill,Courtly Manners,Etiquette,"{""skill"":""social""}"
Medieval Europe,Skill,Falconry,Train birds,"{""skill"":""nature""}"
Medieval Europe,Skill,Fortification,Siege engineering,"{""skill"":""engineering""}"
Medieval Europe,Skill,Heraldry,Identify houses,"{""skill"":""knowledge""}"
Medieval Europe,Skill,Hunting,Track game,"{""skill"":""nature""}"
Medieval Europe,Skill,Interrogation,Extract confession,"{""skill"":""social""}"
Medieval Europe,Skill,Intimidation,Use fear,"{""skill"":""social""}"
Medieval Europe,Skill,Jousting,Mounted combat,"{""skill"":""combat""}"
Medieval Europe,Skill,Latin,Language of scholars,"{""skill"":""knowledge""}"
Medieval Europe,Skill,Leechcraft,Apply leeches,"{""skill"":""medicine""}"
Medieval Europe,Skill,Literacy,Read and write,"{""skill"":""knowledge""}"
Medieval Europe,Skill,Theology,Religious knowledge,"{""skill"":""knowledge""}"
Medieval Europe,Trait,Chivalrous,Adhere to code,"{""trait"":true}"
Medieval Europe,Trait,Cunning,Cleverness,"{""trait"":true}"
Medieval Europe,Trait,Devout,Religious conviction,"{""trait"":true}"
Medieval Europe,Trait,Greedy,Hunger for wealth,"{""trait"":true}"
Medieval Europe,Trait,Honorable,Keep word,"{""trait"":true}"
Medieval Europe,Trait,Humble,Accept place,"{""trait"":true}"
Medieval Europe,Trait,Just,Fairness,"{""trait"":true}"
Medieval Europe,Trait,Loyal,Devotion,"{""trait"":true}"
Medieval Europe,Trait,Merciful,Compassion,"{""trait"":true}"
Medieval Europe,Trait,Pious,Religious devotion,"{""trait"":true}"
Medieval Europe,Trait,Pragmatic,Practicality,"{""trait"":true}"
Medieval Europe,Trait,Proud,High opinion,"{""trait"":true}"
Medieval Europe,Trait,Ruthless,No mercy,"{""trait"":true}"
Medieval Europe,Trait,Stoic,Endure pain,"{""trait"":true}"
Medieval Europe,Trait,Wrathful,Quick to anger,"{""trait"":true}"
Medieval Europe,Trait,Zealous,Fanatical,"{""trait"":true}"
Noir Chicago,Origin,Hard-Boiled Detective,Too stubborn to quit.,"{""components"":[""Cynical (Trait)"",""Resilient (Trait)"",""Perceptive (Trait)"",""Investigation (Skill)"",""Handguns (Skill)"",""Brawling (Skill)"",""Revolver (Item)"",""Gut Instinct (Ability)""],""drawbacks"":[""Alcoholism""]}"
Noir Chicago,Ability,Cast Iron Stomach,Consume anything without impact,"{""resistance"":""poison""}"
Noir Chicago,Ability,Combat Reflexes,Honed reaction speed,"{""initiative"":1}"
Noir Chicago,Ability,Connections,Network of contacts,"{""social"":""contacts""}"
Noir Chicago,Ability,Fast Talk,Talk way out of trouble,"{""social"":""persuasion""}"
Noir Chicago,Ability,Gut Instinct,Sixth sense for danger,"{""perception"":""danger""}"
Noir Chicago,Ability,Hard Boiled,Emotional detachment,"{""resistance"":""fear""}"
Noir Chicago,Ability,Intimidating Glare,Presence commands fear,"{""social"":""intimidate""}"
Noir Chicago,Ability,Lie Detection,Read tells,"{""social"":""insight""}"
Noir Chicago,Ability,Lucky,Improbable good fortune,"{""luck"":1}"
Noir Chicago,Ability,Network of Informants,Web of contacts,"{""social"":""contacts""}"
Noir Chicago,Ability,Night Owl,Function best after dark,"{""buff"":""night""}"
